id,tenderID,dateModified,cpv,label,text_raw,text
09076ffc415e4d57ad7046aacc91b6e1,UA-2015-02-16-000001,2015-02-23T12:00:00.756010+02:00,14410000-8,other,"Сіль технічна Сіль технічна, помол 3, з додаванням антизлежувача, фасування в поліпропіленові мішки по 50кг.
Відповідність вимог ДСТУ 4246:2003
Умови поставки - самовивозом зі складу постачальника в межах м. Києва у відповідності до заявок замовника 
Умови оплати - оплата по факту поставки Сіль технічна, помол 3, з додаванням антизлежувача, фасування в поліпропіленові мішки по 50кг.
Відповідність вимог ДСТУ 4246:2003 14410000-8 CPV Сіль кам'яна  08.93.1 ДКПП",сіль технічна сіль технічна помол <NUM> з додаванням антизлежувача фасування в поліпропіленові мішки по 50кг відповідність вимог дсту <NUM> <NUM> умови поставки - самовивозом зі складу постачальника в межах м києва у відповідності до заявок замовника умови оплати - оплата по факту поставки сіль технічна помол <NUM> з додаванням антизлежувача фасування в поліпропіленові мішки по 50кг відповідність вимог дсту <NUM> <NUM> <ID> - <NUM> cpv сіль кам яна <NUM> <NUM> дкпп
7dd5668189454f5994da57b6ac43631d,UA-2015-04-14-000001,2015-04-14T11:06:53.627855+03:00,24000000-4,chemicals,"Піна монтажна (тест) Піна монтажна в балонах. 
Місце поставки - склад ВМТЗ за адресою Замовника. 
Поставка за рахунок Учасника. 
Оплта по факту поставки піна монтажна в балонах  по 0,75 л, 
якість - ДСТУ Б А.1.1-76:2007 24000000-4 CPV Продукція хімічна 20.30.2 ДКПП",піна монтажна тест піна монтажна в балонах місце поставки - склад вмтз за адресою замовника поставка за рахунок учасника оплта по факту поставки піна монтажна в балонах по <NUM> л якість - дсту б а <DATE> <NUM> <ID> - <NUM> cpv продукція хімічна <NUM> <NUM> дкпп
3d7b06e6de484ed0a8ae4d461b99f16d,UA-2015-04-14-000005,2015-04-21T16:00:01.560050+03:00,32583000-3,electronics,"диски DVD оптичні диски DVD. Ємність 4,7Гб, Швидкість запису 16х оптичні диски DVD. Ємність 4,7Гб, Швидкість запису 16х 32583000-3 CPV Носії для записування даних та мовних повідомлень  26.80.1 ДКПП",диски dvd оптичні диски dvd ємність <NUM> 7гб швидкість запису 16х оптичні диски dvd ємність <NUM> 7гб швидкість запису 16х <ID> - <NUM> cpv носії для записування даних та мовних повідомлень <NUM> <NUM> дкпп
9bc6f75186794726ac5a234f57a1c4f3,UA-2015-04-27-000012,2015-04-28T09:46:39.219085+03:00,30197630-1,office,Папір А4 ТЕСТ ПАПІР   ПАПІР   30197630-1 CPV Папір друкарський 17.23.1 ДКПП,папір а4 тест папір папір <ID> - <NUM> cpv папір друкарський <NUM> <NUM> дкпп
0c63b9fcd3bf4b9bb93ffad8fe334a2e,UA-2015-04-27-000024,2015-04-30T14:25:43.410437+03:00,50000000-5,repair,Ремонт стекла Ремонт стекла а/м Хюндай Ремонт стекла а/м Хюндай 50000000-5 CPV Послуги з ремонтування і технічного обслуговування 33.17.1 ДКПП,ремонт стекла ремонт стекла а м хюндай ремонт стекла а м хюндай <ID> - <NUM> cpv послуги з ремонтування і технічного обслуговування <NUM> <NUM> дкпп
58fd4aa7e581430ebfc1b476b8da6510,UA-2015-05-06-000002,2015-05-06T09:41:28.288277+03:00,30236111-3,office,"Комплектуючі до комп'ютеру Комплектуючі до комп'ютеру Видеоплата, мережева карта, лінійка пам'яті, батарейки, тонер для принтеру. 30236111-3 CPV Пам'ять динамічна оперативна (DRAM)  26.12.2 ДКПП 26.20.2 ДКПП",комплектуючі до комп ютеру комплектуючі до комп ютеру видеоплата мережева карта лінійка пам яті батарейки тонер для принтеру <ID> - <NUM> cpv пам ять динамічна оперативна dram <NUM> <NUM> дкпп <NUM> <NUM> дкпп
54ac70763136419c8085201c175185a6,UA-2015-05-06-000026,2015-05-06T15:29:35.482284+03:00,09000000-3,energy,"гсм бензин А-95 бензин А-95 09000000-3 CPV Нафтопродукти, паливо, електроенергія та інші види енергії 19 ДКПП",гсм бензин а- <NUM> бензин а- <NUM> <ID> - <NUM> cpv нафтопродукти паливо електроенергія та інші види енергії <NUM> дкпп
ae5ccc2b1a974a80a294f21190dbd7ed,UA-2015-05-07-000014,2015-05-12T13:00:02.108046+03:00,55523100-3,other,харчування послуги з харчування 10 чоловік з 20 травня по 07 червня 2015 року послуги з харчування 10 чловік з 20 травня по 07 червня 2015 року 55523100-3 CPV Послуги з харчування у школах  56.29.1 ДКПП,харчування послуги з харчування <NUM> чоловік з <NUM> травня по <DATE> року послуги з харчування <NUM> чловік з <NUM> травня по <DATE> року <ID> - <NUM> cpv послуги з харчування у школах <NUM> <NUM> дкпп
7efedce4e8064b93b4c39853758dee82,UA-2015-05-12-000011,2015-05-13T10:38:05.796472+03:00,44411000-4,other,"Кришки для віал LLG 4008258 Кришки №11 сині, з отвором, септа біла сілікон/червона ПТФЕ, твердість 45° край А, товщина 1,00 мм, 100 од. в упаковці LLG 4008258 Кришки №11 сині, з отвором, септа біла сілікон/червона ПТФЕ, твердість 45° край А, товщина 1,00 мм, 100 од. в упаковці 44411000-4 CPV Посуд санітарний 22.22.1 ДКПП",кришки для віал llg <NUM> кришки <NUM> сині з отвором септа біла сілікон червона птфе твердість <NUM> край а товщина <NUM> мм <NUM> од в упаковці llg <NUM> кришки <NUM> сині з отвором септа біла сілікон червона птфе твердість <NUM> край а товщина <NUM> мм <NUM> од в упаковці <ID> - <NUM> cpv посуд санітарний <NUM> <NUM> дкпп
1888de4a9c6e4d0a856bf6ab5e4c4bc3,UA-2015-05-06-000030,2015-05-13T16:00:03.355902+03:00,30199310-6,office,"документ про вищу освіту документи про вищу освіту (диплом бакалавра, диплом бакалавра з відзнакою; диплом спеціаліста, диплом спеціаліста з відзнакою; диплом магістра, диплом магістра з відзнакою) документ про вищу освіту повинен відповідати формі затвердженою Міністерством освіти і науки України,також в документі про вищу освіту державного зразка має міститись перелік інформації згідно Постанови КМУ №193 від 31.03.2015р. 30199310-6 CPV Папір тиснений та перфорований для друкування  17 ДКПП",документ про вищу освіту документи про вищу освіту диплом бакалавра диплом бакалавра з відзнакою диплом спеціаліста диплом спеціаліста з відзнакою диплом магістра диплом магістра з відзнакою документ про вищу освіту повинен відповідати формі затвердженою міністерством освіти і науки україни також в документі про вищу освіту державного зразка має міститись перелік інформації згідно постанови кму <NUM> від <NUM> 2015р <ID> - <NUM> cpv папір тиснений та перфорований для друкування <NUM> дкпп
